"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"+?,-?,C?,F?,M?","5","TS-1088-AR02016","","","","D8X3C_Back-easyedapro:","https://atta.szlcsc.com/upload/public/pdf/source/20200810/C720475_60D09DD6C54279ADDB2DC25100F1CC11.pdf"
"1V2","1","XC6206P122MR(1uA)","","","","D8X3C_Back-easyedapro:SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","https://atta.szlcsc.com/upload/public/pdf/source/20210427/C2827649_24A8EEF49F85A7F9CB1A2467D089223A.pdf"
"1V8","1","XC6206P182MR","","","","D8X3C_Back-easyedapro:SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR","https://atta.szlcsc.com/upload/public/pdf/source/20241029/DFB0998C0588718C146C8B83CE14F55A.pdf"
"?,?,?,?","4","~","","","","D8X3C_Back-easyedapro:",""
"C1,C2,C3,C4","4","20pF","","","","D8X3C_Back-easyedapro:","https://atta.szlcsc.com/upload/public/pdf/source/20200305/C486355_26A10D38EF8C2A5C37091D0039909270.pdf"
"C5,C11,C12","3","1uF","","","","D8X3C_Back-easyedapro:","https://item.szlcsc.com/datasheet/CL05A105KA5NQNC/53938.html"
"C6","1","4.7uF","","","","D8X3C_Back-easyedapro:","https://item.szlcsc.com/datasheet/CL05A475MP5NRNC/24469.html"
"C7,C8,C15,C17,C33","5","22uF","","","","D8X3C_Back-easyedapro:","https://item.szlcsc.com/datasheet/CL10A226MQ8NRNC/60514.html"
"C9,C10,C16,C18,C20,C22,C25,C26,C27,C28,C29","11","100nF","","","","D8X3C_Back-easyedapro:","https://item.szlcsc.com/datasheet/CL05B104KO5NNNC/1877.html"
"C13,C14,C23,C24","4","47nF","","","","D8X3C_Back-easyedapro:","https://item.szlcsc.com/datasheet/CC0402KRX7R9BB473/261267.html"
"C19,C21","2","10uF","","","","D8X3C_Back-easyedapro:","https://item.szlcsc.com/datasheet/CL10A106KP8NNNC/20411.html"
"C30,C31,C32","3","47uF","","","","D8X3C_Back-easyedapro:C0805","https://item.szlcsc.com/datasheet/CL21A476MQYNNNE/17464.html"
"CN1","1","DF12-50DS-0.5V(86)","","","","D8X3C_Back-easyedapro:CONN-SMD_DF12-50DS-0.5V","https://atta.szlcsc.com/upload/public/pdf/source/20161125/1480067867190.pdf"
"DM3,DM4,DP3,DP4,G1IN?,RTS#?","6","~","","","","D8X3C_Back-easyedapro:Test-Point-0.5mm",""
"FPC1","1","FPC-05FB-40PH20","","","","D8X3C_Back-easyedapro:FPC-SMD_40P-P0.50_XUNPU_FPC-05FB-40PH20","https://atta.szlcsc.com/upload/public/pdf/source/20210922/C2856837_A0FF02895414764A7F2E525E58748FC4.pdf"
"L1,L2,L3","3","BLM18PG121SN1D","","","","D8X3C_Back-easyedapro:L0603","https://atta.szlcsc.com/upload/public/pdf/source/20130704/1457706621422.pdf"
"PG?,THM_PWR?","2","KT-0603R","","","","D8X3C_Back-easyedapro:","https://atta.szlcsc.com/upload/public/pdf/source/20160616/1466072038404.pdf"
"R1,R2","2","5.1kΩ","","","","D8X3C_Back-easyedapro:R0402","https://item.szlcsc.com/datasheet/0402WGF5101TCE/26648.html"
"R4,R5,R27,R28,R29,R30,R45,R49,R53,R57","10","10kΩ","","","","D8X3C_Back-easyedapro:R0402","https://item.szlcsc.com/datasheet/0402WGF1002TCE/26487.html"
"R6,R15,R21,R23,R25,R34,R35,R36,R37,R38,R39,R40,R41,R43,R44,R58","16","0Ω","","","","D8X3C_Back-easyedapro:R0402","https://atta.szlcsc.com/upload/public/pdf/source/20200306/C422600_1E6D84923E4A46A82E41ADD87F860B5C.pdf,https://item.szlcsc.com/datasheet/0603WAF0000T5E/21903.html"
"R7,R59","2","1kΩ","","","","D8X3C_Back-easyedapro:R0402","https://item.szlcsc.com/datasheet/0402WGF1001TCE/12256.html"
"R8,R11,R12,R13","4","4.7kΩ","","","","D8X3C_Back-easyedapro:R0402","https://item.szlcsc.com/datasheet/0402WGF4701TCE/26643.html"
"R9,R10","2","100Ω","","","","D8X3C_Back-easyedapro:R0402","https://atta.szlcsc.com/upload/public/pdf/source/20200306/C422600_1E6D84923E4A46A82E41ADD87F860B5C.pdf"
"R14","1","75Ω","","","","D8X3C_Back-easyedapro:R0402","https://item.szlcsc.com/datasheet/0402WGF750JTCE/25876.html"
"U1","1","MS2107","","","","D8X3C_Back-easyedapro:LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL_1","https://atta.szlcsc.com/upload/public/pdf/source/20241106/324BD733F5E03FEBC02A723D4CEC61AB.pdf"
"U2","1","CH340N","","","","D8X3C_Back-easyedapro:SOP-8_L4.9-W3.9-P1.27-LS6.0-BL","https://atta.szlcsc.com/upload/public/pdf/source/20240313/115CDE92081B1D6CB446704AD5D0F5F2.pdf"
"U3","1","CH334P","","","","D8X3C_Back-easyedapro:QFN-16_L3.0-W3.0-P0.50-BL-EP1.7","https://atta.szlcsc.com/upload/public/pdf/source/20250604/7AD8BFBC003BE5B3AD236D084A321810.pdf"
"U4,U11","2","AMS1117-3.3","","","","D8X3C_Back-easyedapro:SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR","https://item.szlcsc.com/datasheet/AMS1117-3.3/6652.html"
"U7,U8,U9","3","TXS0108EPWR","","","","D8X3C_Back-easyedapro:TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL","http://www.ti.com/cn/lit/gpn/txs0108e"
"U10","1","AT24C16","","","","D8X3C_Back-easyedapro:SOP-8_L5.0-W4.0-P1.27-LS6.0-BL","https://atta.szlcsc.com/upload/public/pdf/source/20200527/C561263_AC234663A499CF0B5C3BE8C2059C2B18.pdf"
"USB1","1","TYPE-C 16PIN 2MD(073)","","","","D8X3C_Back-easyedapro:USB-C-SMD_TYPE-C-6PIN-2MD-073","https://atta.szlcsc.com/upload/public/pdf/source/20250506/FFB74EDFDFA0AC372CE4A8E4F739CCEF.pdf"
"X1,X2","2","12MHz","","","","D8X3C_Back-easyedapro:CRYSTAL-SMD_4P-L3.2-W2.5-BL","https://atta.szlcsc.com/upload/public/pdf/source/20240329/19D5F850207469550BEB00D7DFEDBC7A.pdf"
